1 ; PIAZZETTA CARD. S.PIGNEDOLI,2 ; 6 ; 0,89
2 ; PIAZZETTA CARD. S.PIGNEDOLI,2 ; 6 ; 1,32
3 ; VIA FILIPPO RE,6 ; 3 ; 0,59
4 ; VIA FILIPPO RE,6 ; 3 ; 0,69
5 ; VIALE MONTE S. MICHELE,12 ; 2 ; 0,56
6 ; VIALE MONTE S. MICHELE,12 ; 3 ; 0,76
7 ; VIALE MONTE GRAPPA,8 ; 4 ; 0,93
8 ; VIALE MONTE GRAPPA,8 ; 2 ; 0,42
9 ; VIA E. FERRI,14 ; 3 ; 0,62
10 ; VIALE MONTE S. MICHELE,12 ; 7 ; 1,39
11 ; VIA N. LASAGNI,5/A ; 8 ; 1,90
12 ; VIA R. FRANCHETTI,8 ; 6 ; 1,24
13 ; VIA R. FRANCHETTI,8 ; 1 ; 0,40
14 ; VIA J. F. KENNEDY,20 ; 5 ; 1,28
15 ; VIA J. F. KENNEDY,20 ; 6 ; 1,61
16 ; VIA J. F. KENNEDY,20 ; 4 ; 1,23
17 ; VIA J. F. KENNEDY,20 ; 1 ; 0,23
18 ; VIA F. CONFALONIERI,1 ; 5 ; 1,24
19 ; VIA F. CONFALONIERI,1 ; 2 ; 0,40
20 ; VIA F. CONFALONIERI,1 ; 6 ; 1,24
21 ; VIA CELLA ALL'OLDO,8 ; 19 ; 5,07
22 ; VIA CELLA ALL'OLDO,8 ; 22 ; 4,78
23 ; VIA CELLA ALL'OLDO,8 ; 33 ; 6,92
24 ; VIA G. BRUNO,29 ; 15 ; 3,30
25 ; VIA GHIARDA,28 ; 5 ; 1,30
26 ; VIA G. PUCCINI,4 ; 4 ; 1,25
27 ; VIA G. PUCCINI,4 ; 3 ; 0,65
28 ; VIA G. PUCCINI,4 ; 3 ; 0,60
29 ; VIA G. PUCCINI,4 ; 3 ; 0,63
30 ; VIA PREMUDA,36 ; 4 ; 0,93
31 ; VIA PREMUDA,36 ; 3 ; 0,62
32 ; VIA PREMUDA,36 ; 7 ; 1,31
33 ; VIA PREMUDA,34 ; 4 ; 0,94
34 ; VIA PREMUDA,34 ; 7 ; 1,35
35 ; VIA PREMUDA,34 ; 15 ; 2,92
36 ; VIA PREMUDA,34 ; 5 ; 0,86
37 ; VIA F. P. TOSTI,4 ; 1 ; 0,32
38 ; VIA F. P. TOSTI,4 ; 3 ; 0,85
39 ; VIA D. FREDDI,41 ; 6 ; 0,99
40 ; VIA D. FREDDI,41 ; 4 ; 0,68
41 ; VIA D. F. CECATI,12 ; 3 ; 0,62
42 ; VIA D. F. CECATI,12 ; 1 ; 0,19
43 ; VIA D. F. CECATI,12 ; 5 ; 1,04
44 ; VIA D. F. CECATI,12 ; 4 ; 0,83
45 ; VIA BARTOLO DA SASSOFERRATO,24 ; 6 ; 1,17
46 ; VIA BARTOLO DA SASSOFERRATO,24 ; 7 ; 1,34
47 ; VIA BISMANTOVA,23 ; 4 ; 0,72
48 ; VIA BISMANTOVA,23 ; 7 ; 1,87
