1 ; PIAZZETTA CARD. S.PIGNEDOLI,2 ; 260 ; 38,58
2 ; PIAZZETTA CARD. S.PIGNEDOLI,2 ; 176 ; 38,77
3 ; VIA FILIPPO RE,6 ; 284 ; 56,13
4 ; VIA FILIPPO RE,6 ; 180 ; 41,28
5 ; VIALE MONTE S. MICHELE,12 ; 128 ; 35,65
6 ; VIALE MONTE S. MICHELE,12 ; 197 ; 49,87
7 ; VIALE MONTE GRAPPA,8 ; 210 ; 48,95
8 ; VIALE MONTE GRAPPA,8 ; 187 ; 39,37
9 ; VIA E. FERRI,14 ; 144 ; 29,94
10 ; VIALE MONTE S. MICHELE,12 ; 237 ; 47,12
11 ; VIA N. LASAGNI,5/A ; 133 ; 31,52
12 ; VIA R. FRANCHETTI,8 ; 226 ; 46,79
13 ; VIA R. FRANCHETTI,8 ; 118 ; 47,20
14 ; VIA J. F. KENNEDY,20 ; 149 ; 38,01
15 ; VIA J. F. KENNEDY,20 ; 126 ; 33,87
16 ; VIA J. F. KENNEDY,20 ; 85 ; 26,15
17 ; VIA J. F. KENNEDY,20 ; 127 ; 29,74
18 ; VIA F. CONFALONIERI,1 ; 160 ; 39,70
19 ; VIA F. CONFALONIERI,1 ; 194 ; 38,65
20 ; VIA F. CONFALONIERI,1 ; 148 ; 30,71
21 ; VIA CELLA ALL'OLDO,8 ; 117 ; 31,20
22 ; VIA CELLA ALL'OLDO,8 ; 158 ; 34,35
23 ; VIA CELLA ALL'OLDO,8 ; 134 ; 28,09
24 ; VIA G. BRUNO,29 ; 176 ; 38,77
25 ; VIA GHIARDA,28 ; 128 ; 33,16
26 ; VIA G. PUCCINI,4 ; 114 ; 35,51
27 ; VIA G. PUCCINI,4 ; 156 ; 33,62
28 ; VIA G. PUCCINI,4 ; 168 ; 33,80
29 ; VIA G. PUCCINI,4 ; 156 ; 32,57
30 ; VIA PREMUDA,36 ; 123 ; 28,74
31 ; VIA PREMUDA,36 ; 151 ; 31,26
32 ; VIA PREMUDA,36 ; 157 ; 29,29
33 ; VIA PREMUDA,34 ; 113 ; 26,65
34 ; VIA PREMUDA,34 ; 161 ; 30,96
35 ; VIA PREMUDA,34 ; 177 ; 34,44
36 ; VIA PREMUDA,34 ; 200 ; 34,48
37 ; VIA F. P. TOSTI,4 ; 104 ; 33,77
38 ; VIA F. P. TOSTI,4 ; 140 ; 39,44
39 ; VIA D. FREDDI,41 ; 216 ; 35,53
40 ; VIA D. FREDDI,41 ; 163 ; 27,86
41 ; VIA D. F. CECATI,12 ; 184 ; 37,78
42 ; VIA D. F. CECATI,12 ; 223 ; 42,56
43 ; VIA D. F. CECATI,12 ; 184 ; 38,41
44 ; VIA D. F. CECATI,12 ; 187 ; 38,88
45 ; VIA BARTOLO DA SASSOFERRATO,24 ; 152 ; 29,63
46 ; VIA BARTOLO DA SASSOFERRATO,24 ; 166 ; 31,86
47 ; VIA BISMANTOVA,23 ; 189 ; 34,18
48 ; VIA BISMANTOVA,23 ; 95 ; 25,33
49 ; VIA BISMANTOVA,23 ; 104 ; 23,96
50 ; VIA BISMANTOVA,23 ; 121 ; 31,19
51 ; VIA BISMANTOVA,23 ; 78 ; 22,48
52 ; VIA DELLA CANALINA,21 ; 117 ; 29,62
53 ; VIA M. K. GANDHI,16/C ; 112 ; 24,94
54 ; VIA M. K. GANDHI,16/C ; 168 ; 32,94
55 ; VIA M. K. GANDHI,16/C ; 201 ; 35,08
56 ; VIA DELLA CANALINA,21 ; 123 ; 19,16
57 ; VIA DELLA CANALINA,21 ; 160 ; 32,26
58 ; VIA DELLA CANALINA,21 ; 205 ; 34,92
59 ; VIA F.LLI ROSSELLI,41/1 ; 250 ; 38,52
60 ; VIA B. PASCAL,81 ; 159 ; 29,44
61 ; VIA B. PASCAL,81 ; 228 ; 36,83
62 ; VIA B. PASCAL,81 ; 155 ; 34,91
63 ; VIA B. PASCAL,81 ; 182 ; 30,18
